index,count,tx_0,action_types,swap_pools,token_path,action_groups,flash_pair
96,172,0xf8de27d0d1a8a66a561b2a71b5ff094d39c2a7f666fb8808ba6be940991a96b0,"LLAMMA:token_in
LLAMMA:token_out","LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD","wsteth
crvusd","LLAMMA:1
LLAMMA:1","
","LLAMMA:token_in
LLAMMA:token_out
wsteth
crvusd"
134,116,0xf56f0514e6a2aabd23145506aca57d72f06af4a59d6fe873aca81345df8f4b87,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
UniswapV3Pool-WETH-wstETH:fee_500
UniswapV3Pool-WETH-USDC:fee_500
UniswapV3Pool-WETH-wstETH:fee_500","usdc
usdc
crvusd
crvusd
wsteth
weth
weth
wsteth","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
flash_borrow:UniswapV3Pool-WETH-wstETH:fee_500:1
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0
flash_repay:UniswapV3Pool-WETH-wstETH:fee_500:1","0




1
0
1","UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in
usdc
usdc
crvusd
crvusd
wsteth
weth
weth
wsteth"
95,111,0xa5b95206bae24e00ae5cda4db520fda8bb3480161adf51033e80c096227d41bc,"LLAMMA:token_in
LLAMMA:token_out","LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD","crvusd
wsteth","LLAMMA:1
LLAMMA:1","
","LLAMMA:token_in
LLAMMA:token_out
crvusd
wsteth"
140,104,0x0ac5408296a21b40f0510f9383494b9eae806d0fb7aff781d4a6243f8694dc3f,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in
LLAMMA:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-USDC:fee_500
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-wstETH:fee_100
UniswapV3Pool-WETH-USDC:fee_500
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
UniswapV3Pool-WETH-wstETH:fee_100","usdc
usdc
crvusd
weth
crvusd
wsteth","flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:0
CurveSwap:1
CurveSwap:1
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:0
flash_borrow:UniswapV3Pool-WETH-wstETH:fee_100:1
LLAMMA:1
flash_repay:UniswapV3Pool-WETH-wstETH:fee_100:1","0


0
1

1","UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in
LLAMMA:token_in
UniswapSwap:token_in
usdc
usdc
crvusd
weth
crvusd
wsteth"
148,88,0xb1e21a3b291f806542853521279a53d5a7b3680cbeb324c332526a12810b226b,"UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-wstETH:fee_100
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-USDC:fee_500
UniswapV3Pool-WETH-wstETH:fee_100
UniswapV3Pool-WETH-USDC:fee_500","wsteth
wsteth
crvusd
crvusd
usdc
weth
usdc","flash_borrow:UniswapV3Pool-WETH-wstETH:fee_100:0
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_repay:UniswapV3Pool-WETH-wstETH:fee_100:0
UniswapSwap:3","0




0
","UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in
wsteth
wsteth
crvusd
crvusd
usdc
weth
usdc"
154,85,0x8aec9505b87e0bc25140b84fe1caa1f23b719fa2ae9de06e6310c7ecdc1de878,"UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-wstETH:fee_500
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
UniswapV3Pool-WETH-USDT:fee_500
UniswapV3Pool-WETH-wstETH:fee_500
UniswapV3Pool-WETH-USDT:fee_500","wsteth
wsteth
crvusd
crvusd
usdt
weth
weth
usdt","flash_borrow:UniswapV3Pool-WETH-wstETH:fee_500:0
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:1
flash_repay:UniswapV3Pool-WETH-wstETH:fee_500:0
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:1","0




1
0
1","UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in
wsteth
wsteth
crvusd
crvusd
usdt
weth
weth
usdt"
136,72,0x4260975716291796be976ddc363e9331d9c47af1514be69a4257b752522f091b,"UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-USDT:fee_500
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
UniswapV3Pool-WETH-wstETH:fee_500
UniswapV3Pool-WETH-USDT:fee_500
UniswapV3Pool-WETH-wstETH:fee_500","usdt
usdt
crvusd
crvusd
wsteth
weth
weth
wsteth","flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:0
CurveSwap:1
CurveSwap:1
LLAMMA:1
LLAMMA:1
flash_borrow:UniswapV3Pool-WETH-wstETH:fee_500:1
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:0
flash_repay:UniswapV3Pool-WETH-wstETH:fee_500:1","0




1
0
1","UniswapSwap:token_out
CurveSwap:token_in
CurveSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in
usdt
usdt
crvusd
crvusd
wsteth
weth
weth
wsteth"
149,72,0xddd0ea3907cd68c4efb1cdf026be342057c9ee9ca16405381b1dc2efc4cab08b,"UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-wstETH:fee_100
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
UniswapV3Pool-WETH-USDT:fee_500
UniswapV3Pool-WETH-wstETH:fee_100
UniswapV3Pool-WETH-USDT:fee_500","wsteth
wsteth
crvusd
crvusd
usdt
weth
usdt","flash_borrow:UniswapV3Pool-WETH-wstETH:fee_100:0
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_repay:UniswapV3Pool-WETH-wstETH:fee_100:0
UniswapSwap:3","0




0
","UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in
wsteth
wsteth
crvusd
crvusd
usdt
weth
usdt"
151,58,0xad5823edaf2a058f0123c032904fe936f5811f5e5bb1d95c96b25289bfd855fe,"UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in","UniswapV3Pool-WETH-wstETH:fee_500
LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDC
CurveStableSwap-crvUSD-USDC
UniswapV3Pool-WETH-USDC:fee_500
UniswapV3Pool-WETH-wstETH:fee_500
UniswapV3Pool-WETH-USDC:fee_500","wsteth
wsteth
crvusd
crvusd
usdc
weth
weth
usdc","flash_borrow:UniswapV3Pool-WETH-wstETH:fee_500:0
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_borrow:UniswapV3Pool-WETH-USDC:fee_500:1
flash_repay:UniswapV3Pool-WETH-wstETH:fee_500:0
flash_repay:UniswapV3Pool-WETH-USDC:fee_500:1","0




1
0
1","UniswapSwap:token_out
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
UniswapSwap:token_in
UniswapSwap:token_in
wsteth
wsteth
crvusd
crvusd
usdc
weth
weth
usdc"
63,39,0x13165fd916ff13591002a6b3bbbcc58be73b2e57d2c971d0082880f94317e593,"BalancerVault:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
BalancerVault:token_in
UniswapSwap:token_in","BalancerVault


LLAMMA-wstETH-crvUSD
LLAMMA-wstETH-crvUSD
CurveStableSwap-crvUSD-USDT
CurveStableSwap-crvUSD-USDT
UniswapV3Pool-WETH-USDT:fee_500
BalancerVault
UniswapV3Pool-WETH-USDT:fee_500","weth
eth
weth
wsteth
crvusd
crvusd
usdt
weth
weth
usdt","flash_borrow:BalancerVault:0
WETH_withdraw:1
WETH_withdraw:1
LLAMMA:1
LLAMMA:1
CurveSwap:1
CurveSwap:1
flash_borrow:UniswapV3Pool-WETH-USDT:fee_500:1
flash_repay:BalancerVault:0
flash_repay:UniswapV3Pool-WETH-USDT:fee_500:1","0






1
0
1","BalancerVault:token_out
WETH_withdraw:eth_out
WETH_withdraw:weth_in
LLAMMA:token_in
LLAMMA:token_out
CurveSwap:token_in
CurveSwap:token_out
UniswapSwap:token_out
BalancerVault:token_in
UniswapSwap:token_in
weth
eth
weth
wsteth
crvusd
crvusd
usdt
weth
weth
usdt"
